group,No,"Yes, always","Yes, only in some circumstances"
Agender - does not identify with having a gender,0,3,0
Genderfluid - does not have a singly unchanging gender,1,5,0
Genderqueer - identifies with gender between man and woman,2,1,1
Man,20,171,133
Nonbinary - does not identify with man or woman,0,4,1
Other (please specify)|It gets better,0,0,1
Other (please specify)|Masturbinary,1,0,0
Other (please specify)|Nonbinary + woman,0,1,0
Other (please specify)|Transsexual,0,1,0
Other (please specify)|Unlabeled,0,1,0
Other (please specify)|Walmart bag,0,1,0
Other (please specify)|dumb question,1,0,0
Questioning,0,3,0
Woman,6,341,81
