group,No,"No, but I would like to seek an evaluation","Yes, after coming to Andover","Yes, before coming to Andover"
Agender - does not identify with having a gender,1,1,1,0
Genderfluid - does not have a singly unchanging gender,3,1,0,1
Genderqueer - identifies with gender between man and woman,0,0,2,1
Man,250,26,12,27
Nonbinary - does not identify with man or woman,3,1,1,0
Other (please specify)|Nonbinary + woman,0,1,0,0
Other (please specify)|Transsexual,0,0,0,1
Other (please specify)|Unlabeled,0,1,0,0
Other (please specify)|Walmart bag,1,0,0,0
Other (please specify)|dumb question,1,0,0,0
Questioning,0,2,0,0
Woman,243,71,43,60
